A00,Холера
S46,Травма на мускулите и сухожилията  на ниво раменен пояс и мишница
S46.0,Травма на сухожилията на ротаторните мускули на мишницата
S46.1,Травма на мускулите и сухожилията на дългата главичка на двуглавия мускул
S46.2,Травма на мускулите и сухожилията на други части от двуглавия мускул
S46.3,Травма на мускулите и сухожилията на триглавия мускул
S46.7,Травма на няколко мускула и сухожилия на ниво раменен пояс и мишница
S46.8,Травма на други мускули и сухожилия на ниво раменен пояс и мишница
S46.9,Травма на неуточнени мускули и сухожилия на ниво раменен пояс и мишница
S47,Смазване на раменния пояс  и мишницата
S48,Травматична ампутация на раменния пояс и мишницата
S48.0,Травматична ампутация на ниво раменна става
S48.1,Травматична ампутация на ниво между раменната и лакътната става
S48.9,Травматична ампутация на раменния пояс и мишницата на неуточнено ниво
S49,Други и неуточнени травми  на раменния пояс и мишницата
S49.7,Множествени травми на раменния пояс и мишницата
S49.8,Други уточнени травми на раменния пояс и мишницата
S49.9,"Травма на раменния пояс и мишницата, неуточнена"
S50,Повърхностна травма на предмишницата
S50.0,Контузия на лакътя
S50.1,Контузия на друга и неуточнена част на предмишницата
S50.7,Множествени повърхностни травми на предмишницата
S50.8,Други повърхностни травми на предмишницата
S50.9,"Повърхностна травма на предмишницата, неуточнена"
S51,Открита рана на предмишницата
S51.0,Открита рана на лакътя
S51.7,Множествени открити рани на предмишницата
S51.8,Открита рана на други части на предмишницата
S51.9,Открита рана на неуточнена част на предмишницата
S52,Счупване на костите на предмишницата
S52.0,Счупване на горния край на лакътната кост
S52.1,Счупване на горния край на лъчевата кост
S52.2,Счупване на тялото [диафиза] на лакътната кост
S52.3,Счупване на тялото [диафиза] на лъчевата кост
S52.4,Съчетано счупване на диафизите на лакътната и лъчевата кост
S52.5,Счупване на долния край на лъчевата кост
S52.6,Съчетано счупване на долните краища на лакътната и лъчевата кост
S52.7,Множествени счупвания на костите на предмишницата
S52.8,Счупване на други части на костите на предмишницата
S52.9,Счупване на неуточнена част на костите на предмишницата
S53,"Изкълчване, навяхване и разтягане на ставите и ставните връзки на лакътната става"
S53.0,Изкълчване на главичката на лъчевата кост
S53.1,"Изкълчване на лакътната става, неуточнено"
S53.2,Травматично скъсване на колатералните връзки на радиуса
S53.3,Травматично скъсване на колатералните връзки на улната
S53.4,Навяхване и разтягане на ставния апарат на лакътната става
S54,Травма на нервите на ниво предмишница
S54.0,Травма на лакътния нерв на ниво предмишница
S54.1,Травма на нервус медианус на ниво предмишница
S54.2,Травма на нервус радиалис на ниво предмишница
S54.3,Травма на кожно-сензорния нерв на ниво предмишница
S54.7,Травма на няколко нерва на ниво предмишница
S54.8,Травма на други нерви на ниво предмишница
S54.9,Травма на неуточнен нерв на ниво предмишница
S55,Травма на кръвоносните съдове  на ниво предмишница
S55.0,Травма на улнарната артерия на ниво предмишница
S55.1,Травма на радиалната артерия на ниво предмишница
S55.2,Травма на вените на ниво предмишница
S55.7,Травма на няколко кръвоносни съда на ниво предмишница
S55.8,Травма на други кръвоносни съдове на ниво предмишница
S55.9,Травма на неуточнен кръвоносен съд на ниво предмишница
S56,Травма на мускулите и сухожилията  на ниво предмишница
S56.0,Травма на флексорните мускули и сухожилия на палеца на ниво предмишница
S56.1,Травма на флексорните мускули и сухожилия на друг(-и) пръст(-и) на ниво предмишница
S56.2,Травма на друг флексорен мускул и сухожилие на ниво предмишница
S56.3,Травма на екстензорните или абдукторните мускули и сухожилия на палеца на ниво предмишница
S56.4,Травма на екстензорните мускули и сухожилия на друг(-и) пръст(-и) на ниво предмишница
S56.5,Травма на друг екстензорен мускул и сухожилие на ниво предмишница
S56.7,Травма на няколко мускула и сухожилия на ниво предмишница
S56.8,Травма на други и неуточнени мускули и сухожилия на ниво предмишница
S57,Смазване на предмишницата
S57.0,Смазване на лакътя
S57.8,Смазване на други части на предмишницата
S57.9,Смазване на неуточнена част на предмишницата
S58,Травматична ампутация  на предмишницата
S58.0,Травматична ампутация на ниво лакът
S58.1,Травматична ампутация на ниво между лакътя и китката
S58.9,Травматична ампутация на предмишницата на неуточнено ниво
S59,Други и неуточнени травми  на предмишницата
S59.7,Множествени травми на предмишницата
S59.8,Други уточнени травми на предмишницата
S59.9,"Травма на предмишницата, неуточнена"
S60,Повърхностна травма на китката  и дланта
S60.0,Контузия на пръст(-и) на ръката без увреждане на ноктите
S60.1,Контузия на пръст(-и) на ръката с увреждане на ноктите
S60.2,Контузия на други части на китката и дланта
S60.7,Множествени повърхностни травми на китката и дланта
S60.8,Други повърхностни травми на китката и дланта
S60.9,"Повърхностна травма на китката и дланта, неуточнена"
S61,Открита рана на китката и дланта
S61.0,Открита рана на пръст(-и) на ръката без увреждане на ноктите
S61.1,Открита рана на пръст(-и) на ръката с увреждане на ноктите
S61.7,Множествени открити рани на китката и дланта
S61.8,Открита рана на други части на китката и дланта
S61.9,Открита рана на неуточнена част на китката и дланта
S62,Счупване на ниво китка и длан
S62.0,Счупване на ладиевидната кост на китката
S62.1,Счупване на друга(-и) кост(-и) на дланта
S62.2,Счупване на първа метакарпална кост
S62.3,Счупване на друга метакарпална кост
S62.4,Множествени счупвания на метакарпални кости
S62.5,Счупване на палеца на ръката
S62.6,Счупване на друг пръст на ръката
S62.7,Множествени счупвания на пръсти
S62.8,Счупване на друга и неуточнена част на китката и дланта
S63,"Изкълчване, навяхване и разтягане  на ставите и ставните връзки на ниво китка и длан"
S63.0,Изкълчване на китката
S63.1,Изкълчване на пръсти на ръката
S63.2,Множествени изкълчвания на пръстите на ръката
S63.3,Травматично скъсване на връзките на китката и дланта
S63.4,Травматично скъсване на връзките на пръст на нивото на метакарпофалангеалната и интерфалангеалната става(-и)
S63.5,Навяхване и разтягане на ставите на ниво китка
S63.6,Навяхване и разтягане на ставите на ниво пръст(-и)
S63.7,Навяхване и разтягане на ставния апарат на други и неуточнени части на ръката
S64,Травма на нервите на ниво китка  и длан
S64.0,Травма на лакътния нерв на ниво китка и длан
S64.1,Травма на нервус медианус на ниво китка и длан
S64.2,Травма на нервус радиалис на ниво китка и длан
S64.3,Травма на дигитален нерв на палеца
S64.4,Травма на дигитален нерв на друг пръст
S64.7,Травма на няколко нерва на ниво китка и длан
S64.8,Травма на други нерви на ниво китка и длан
S64.9,Травма на неуточнен нерв на ниво китка и длан
S65,Травма на кръвоносните съдове  на ниво китка и длан
S65.0,Травма на лакътната артерия на ниво китка и длан
S65.1,Травма на лъчевата артерия на ниво китка и длан
S65.2,Травма на повърхностната палмарна дъга на дланта
S65.3,Травма на дълбоката палмарна дъга на дланта
S65.4,Травма на кръвоносен(-ни) съд(-ове) на палеца
S65.5,Травма на кръвоносен(-ни) съд(-ове) на друг пръст
S65.7,Травма на няколко кръвоносни съда на ниво китка и длан
S65.8,Травма на други кръвоносни съдове на ниво китка и длан
S65.9,Травма на неуточнен кръвоносен съд на ниво китка и длан
S66,Травма на мускулите и сухожилията  на ниво китка и длан
S66.0,Травма на дългия флексорен мускул и сухожилие на палеца на ниво китка и длан
S66.1,Травма на флексорен мускул и сухожилие на друг пръст на ниво китка и длан
S66.2,Травма на екстензорен мускул и сухожилие на палеца на ниво китка и длан
S66.3,Травма на екстензорен мускул и сухожилие на друг пръст на ниво китка и длан
S66.4,Травма на вътрешен мускул и сухожилие на палеца на ниво китка и длан
S66.5,Травма на вътрешен мускул и сухожилие на друг пръст на ниво китка и длан
S66.6,Травма на няколко флексорни мускула и сухожилия на ниво китка и длан
S66.7,Травма на няколко екстензорни мускула и сухожилия на ниво китка и длан
S66.8,Травма на други мускули и сухожилия на ниво китка и длан
S66.9,Травма на неуточнени мускули и сухожилия на ниво китка и длан
S67,Смазване на китката и дланта
S67.0,Смазване на палеца и друг(-и) пръст(-и) на ръката
S67.8,Смазване на друга и неуточнена част на китката и дланта
S68,Травматична ампутация на китката и дланта
S68.0,Травматична ампутация на палеца на ръката (пълна)(частична)
S68.1,Травматична ампутация на друг пръст на ръката (пълна)(частична)
S68.2,Травматична ампутация на два и повече пръста на ръката (пълна)(частична)
S68.3,Съчетана травматична ампутация на (част от) пръст(-и) и други части на китката и дланта
S68.4,Травматична ампутация на ръката на ниво китка
S68.8,Травматична ампутация на други части на китката и дланта
S68.9,Травматична ампутация на китката и дланта на неуточнено ниво
S69,Други и неуточнени травми на китката и дланта
S69.7,Множествени травми на китката и дланта
S69.8,Други уточнени травми на китката и дланта
S69.9,"Травма на китката и дланта, неуточнена"
S70,Повърхностна травма в областта  на тазобедрената става и бедрото
S70.0,Контузия в областта на тазобедрената става
S70.1,Контузия на бедрото
S70.7,Множествени повърхностни травми в областта на тазобедрената става и бедрото
S70.8,Други повърхностни травми в областта на тазобедрената става и бедрото
S70.9,"Повърхностна травма в областта на тазобедрената става и бедрото, неуточнена"
S71,Открита рана в областта  на тазобедрената става и бедрото
S71.0,Открита рана в областта на тазобедрената става
S71.1,Открита рана на бедрото
S71.7,Множествени открити рани в областта на тазобедрената става и бедрото
S71.8,Открита рана на други и неуточнени части на тазовия пояс
S72,Счупване на бедрената кост
S72.0,Счупване на бедрената шийка
S72.1,Пертрохантерно счупване
S72.2,Субтрохантерна фрактура
S72.3,Счупване на тялото [диафиза] на бедрената кост
S72.4,Счупване на долния край на бедрената кост
S72.7,Множествени счупвания на бедрената кост
S72.8,Счупвания на други части на бедрената кост
S72.9,Счупване на неуточнена част на бедрената кост
S73,"Изкълчване, навяхване и разтягане  на ставите и ставните връзки на тазобедрената става и тазовия пояс"
S73.0,Изкълчване на бедрото
S73.1,Навяхване и разтягане на ставния апарат на тазобедрената става
S74,Травма на нервите на ниво  тазобедрена става и бедро
S74.0,Травма на седалищния нерв на ниво тазобедрена става и бедро
S74.1,Травма на нервус феморалис на ниво тазобедрена става и бедро
S74.2,Травма на кожно-сензорния нерв на ниво тазобедрена става и бедро
S74.7,Травма на няколко нерва на ниво тазобедрена става и бедро
S74.8,Травма на други нерви на ниво тазобедрена става и бедро
S74.9,Травма на неуточнен нерв на ниво тазобедрена става и бедро
S75,Травма на кръвоносните съдове  на ниво тазобедрена става и бедро
S75.0,Травма на бедрената артерия
S75.1,Травма на бедрената вена
S75.2,Травма на vena saphena magna на ниво тазобедрена става и бедро
S75.7,Травма на няколко кръвоносни съда на ниво тазобедрена става и бедро
S75.8,Травма на други кръвоносни съдове на ниво тазобедрена става и бедро
S75.9,Травма на неуточнен кръвоносен съд на ниво тазобедрена става и бедро
S76,Травма на мускулите и сухожилията  в областта на тазобедрената става  и бедрото
S76.0,Травма на мускулите и сухожилията в областта на тазобедрената става
S76.1,Травма на четириглавия мускул и сухожилията му
S76.2,Травма на аддукторния мускул и сухожилията му
S76.3,Травма на мускулите и сухожилията от задната мускулна група на ниво бедро
S76.4,Травма на други и неуточнени мускули и сухожилия на ниво бедро
S76.7,Травма на няколко мускула и сухожилия на ниво тазобедрена става и бедро
S77,Смазване в областта на тазобедрената става и бедрото
S77.0,Смазване в областта на тазобедрената става
S77.1,Смазване на бедрото
S77.2,Смазване в областта на тазобедрената става и бедрото
S78,Травматична ампутация в областта  на тазобедрената става и бедрото
S78.0,Травматична ампутация на ниво тазобедрена става
S78.1,Травматична ампутация на ниво между тазобедрената и коленната става
S78.9,Травматична ампутация в областта между тазобедрената става и бедрото на неуточнено ниво
S79,Други и неуточнени травми в областта  на тазобедрената става и бедрото
S79.7,Множествени травми в областта на тазобедрената става и бедрото
S79.8,Други уточнени травми в областта на тазобедрената става и бедрото
S79.9,"Травма в областта на тазобедрената става и бедрото, неуточнена"
S80,Повърхностна травма на подбедрицата
S80.0,Контузия на коляното
S80.1,Контузия на други и неуточнени части на подбедрицата
S80.7,Множествени повърхностни травми на подбедрицата
S80.8,Други повърхностни травми на подбедрицата
S80.9,"Повърхностна травма на подбедрицата, неуточнена"
S81,Открита рана на подбедрицата
S81.0,Открита рана на коляното
S81.7,Множествени открити рани на подбедрицата
S81.8,Открита рана на други части на подбедрицата
S81.9,Открита рана на подбедрицата с неуточнена локализация
S82,"Счупване на костите на подбедрицата, включително и на глезена"
S82.0,Счупване на пателата
S82.1,Счупване на горния край на тибията (голям пищял)
S82.2,Счупване на тялото [диафиза] на тибията
S82.3,Счупване на дисталната част на тибията
S82.4,Счупване само на фибулата
S82.5,Счупване на вътрешния [медиален] малеолус
S82.6,Счупване на външен [латерален] малеолус
S82.7,Множествени счупвания на подбедрицата
S82.8,Счупвания на други части на подбедрицата
S82.9,Счупване на неуточнена част на подбедрицата
S83,"Изкълчване, навяхване и разтягане на ставите и ставните връзки на коляното"
S83.0,Изкълчване на пателата
S83.1,Изкълчване на коляното
S83.2,Прясно скъсване на мениска
S83.3,Прясно скъсване на ставния хрущял на коляното
S83.4,"Изкълчване, навяхване и разтягане на (външна) (вътрешна) колатерална ставна връзка на коляното"
S83.5,"Изкълчване, навяхване и разтягане на (предна) (задна) кръстовидна ставна връзка на коляното"
S83.6,"Изкълчване, навяхване и разтягане на други и неуточнени елементи на коленната става"
S83.7,Травма на няколко структури на коляното
S84,Травма на нервите на ниво подбедрица
S84.0,Травма на тибиалния нерв на ниво подбедрица
S84.1,Травма на нервус перунеус на ниво подбедрица
S84.2,Травма на кожния сензорен нерв на ниво подбедрица
S84.7,Травма на няколко нерва на ниво подбедрица
S84.8,Травма на други нерви на ниво подбедрица
S84.9,Травма на неуточнен нерв на ниво подбедрица
S85,Травма на кръвоносните съдове  на ниво подбедрица
S85.0,Травма на подколенната артерия
S85.1,Травма на A.Tibialis (предна)(задна)
S85.2,Травма на A.Peronealis
S85.3,Травма на vena saphena magna на ниво подбедрица
S85.4,Травма на малката vena saphena на ниво подбедрица
S85.5,Травма на vena poplitea
S85.7,Травма на няколко кръвоносни съда на ниво подбедрица
S85.8,Травма на други кръвоносни съдове на ниво подбедрица
S85.9,Травма на неуточнен кръвоносен съд на ниво подбедрица
S86,Травма на мускулите и сухожилията  на ниво подбедрица
S86.0,Tравма на Ахилесовото сухожилие
S86.1,Травма на друг(-и) мускул(-и) и сухожилие(-я) от задната мускулна група на ниво подбедрица
S86.2,Травма на мускул(-и) и сухожилие(-я) от предната мускулна група на ниво подбедрица
S86.3,Tравма на мускул(-и) и сухожилие(-я) от групата на перонеуса на ниво подбедрица
S86.7,Tравма на няколко мускула и сухожилия на ниво подбедрица
S86.8,Tравма на други мускули и сухожилия на ниво подбедрица
S86.9,Tравма на неуточнени мускули и сухожилия на ниво подбедрица
S87,Смазване на подбедрицата
S87.0,Смазване на коленната става
S87.8,Смазване на друга и неуточнена част на подбедрицата
S88,Травматична ампутация на подбедрицата
S88.0,Травматична ампутация на ниво коляно
S88.1,Травматична ампутация на ниво между коляното и глезена
S88.9,Травматична ампутация на подбедрицата на неуточнено ниво
S89,Други и неуточнени травми  на подбедрицата
S89.7,Множествени травми на подбедрицата
S89.8,Други уточнени травми на подбедрицата
S89.9,"Травма на подбедрицата, неуточнена"
S90,Повърхностна травма в областта  на глезена и стъпалото
S90.0,Контузия на глезена
S90.1,Контузия на пръст(-и) на стъпалото без увреждане на ноктите
S90.2,Контузия на пръст(-и) на стъпалото с увреждане на ноктите
S90.3,Контузия на други и неуточнени части на стъпалото
S90.7,Множествени повърхностни травми на глезена и стъпалото
S90.8,Други повърхностни травми на глезена и стъпалото
S90.9,"Повърхностна травма на глезена и стъпалото, неуточнена"
S91,Открита рана в областта на глезена  и стъпалото
S91.0,Открита рана в областта на глезена
S91.1,Открита рана на пръст(-и) на стъпалото без увреждане на ноктите
S91.2,Открита рана на пръст(-и) на стъпалото с увреждане на ноктите
S91.3,Открита рана на други части на стъпалото
S91.7,Mножествени открити рани на глезена и стъпалото
S92,Счупване на стъпалото без счупване  на глезена
S92.0,Счупване на петната кост
S92.1,Счупване на талуса
S92.2,Счупване на други тарзални кости
S92.3,Счупване на метатарзална кост
S92.4,Счупване на палеца на стъпалото
S92.5,Счупване на друг пръст на стъпалото
S92.7,Множествени счупвания на стъпалото
S92.9,"Счупване на стъпалото, неуточнено"
S93,"Изкълчване, навяхване и разтягане  на ставите и ставните връзки на ниво глезен и стъпало"
S93.0,Изкълчване на глезенната става
S93.1,Изкълчване на пръст(-и) на стъпалото
S93.2,Скъсване на ставните връзки на ниво глезен и стъпало
S93.3,Изкълчване на други и неуточнени части на стъпалото
S93.4,Навяхване и разтягане на ставните връзки на глезена
S93.5,Навяхване и разтягане на ставния апарат на пръст (-и) на стъпалото
S93.6,Навяхване и разтягане на други и неуточнени части от стъпалото
S94,Травма на нервите на ниво глезен  и стъпало
S94.0,Травма на плантарния [латерален] нерв
S94.1,Травма на плантарния [медиален] нерв
S94.2,Травма на дълбокия нервус перонеус на ниво глезен и стъпало
S94.3,Травма на кожния сензорен нерв на ниво глезен и стъпало
S94.7,Травма на няколко нерва на ниво глезен и стъпало
S94.8,Травма на други нерви на ниво глезен и стъпало
S94.9,Травма на неуточнен нерв на ниво глезен и стъпало
S95,Травма на кръвоносните съдове  на ниво глезен и стъпало
S95.0,Травма на артерия дорзалис педис
S95.1,Травма на артерия плантарис педис
S95.2,Травма на дорзалната вена на стъпалото
S95.7,Травма на няколко кръвоносни съда на ниво глезен и стъпало
S95.8,Травма на други кръвоносни съдове на ниво глезен и стъпало
S95.9,Травма на неуточнен кръвоносен съд на ниво глезен и стъпало
S96,Травма на мускулите и сухожилията  на ниво глезен и стъпало
S96.0,Травма на дългия флексорен мускул на пръст и сухожилията му на ниво глезен и стъпало
S96.1,Травма на дългия екстензорен мускул на пръст и сухожилията му на ниво глезен и стъпало
S96.2,Травма на вътрешния мускул и сухожилието му на ниво глезен и стъпало
S96.7,Травма на няколко мускула и сухожилия на ниво глезен и стъпало
S96.8,Травма на други мускули и сухожилия на ниво глезен и стъпало
S96.9,Травма на неуточнен мускул и сухожилие на ниво глезен и стъпало
S97,Смазване в областта на глезена  и стъпалото
S97.0,Смазване на глезена
S97.1,Смазване на пръст(-и) на стъпалото
S97.8,Смазване на други части на глезена и стъпалото
S98,Травматична ампутация на ниво глезен  и стъпало
S98.0,Травматична ампутация на стъпалото на ниво глезен
S98.1,Травматична ампутация на един пръст от стъпалото
S98.2,Травматична ампутация на два или повече пръста от стъпалото
S98.3,Травматична ампутация на други части от стъпалото
S98.4,Травматична ампутация на стъпалото на неуточнено ниво
S99,Други и неуточнени травми на глезена  и стъпалото
S99.7,Множествени травми на глезена и стъпалото
S99.8,Други уточнени травми на глезена и стъпалото
S99.9,"Травма на глезена и стъпалото, неуточнена"
T00,"Повърхностни травми, обхващащи  няколко области от тялото"
T00.0,Повърхностни травми на шията
T00.1,"Повърхностни травми на гръдния кош, корема, седалището и таза"
T00.2,Повърхностни травми на няколко области от горен крайник(-ци)
T00.3,Повърхностни травми на няколко области на  долен(-ни) крайник(-ци)
T00.6,Повърхностни травми на няколко области от  горен(-ни) и долен(-ни) крайник(-ци)
T00.8,"Други съчетани повърхностни травми, обхващащи няколко области от тялото"
T00.9,"Множествени повърхностни травми, неуточнени"
T01,"Открити рани, обхващащи няколко  области от тялото"
T01.0,Открити рани на главата и шията
T01.1,"Открити рани на гръдния кош, корема, седалището и таза"
T01.2,Открити рани на няколко области от горен(-ни) крайник(-ци)
T01.3,Открити рани на няколко области на долен(-ни) крайник(-ци)
T01.6,Открити рани на няколко области от горен(-ни) и долен(-ни) крайник(-ци)
T01.8,"Други съчетани открити рани, обхващащи няколко области от тялото"
T01.9,"Множествени открити рани, неуточнени"
T02,"Счупвания, обхващащи няколко области  от тялото"
T02.0,Счупвания в областта на главата и шията
T02.1,"Счупвания в областта на гръдния кош, корема, седалището и таза"
T02.2,"Счупвания, обхващащи няколко области на единия горен крайник"
T02.3,"Счупвания, обхващащи няколко области на единия долен крайник"
T02.4,"Счупвания, обхващащи няколко области на двата горни крайника"
T02.5,"Счупвания, обхващащи няколко области от двата долни крайника"
T02.6,"Счупвания, обхващащи няколко области от горен(-ни) и долен(-ни) крайник(-ци)"
T02.7,"Счупвания, обхващащи гръдния кош, седалището, таза и крайник(-ци)"
T02.8,"Други съчетани счупвания, обхващащи няколко области от тялото"
T02.9,"Множествени счупвания, неуточнени"
T03,"Изкълчвания, навяхвания и разтягания, обхващащи няколко области от тялото"
T03.0,"Изкълчвания, навяхвания и разтягания, обхващащи областта на главата и шията"
T03.1,"Изкълчвания, навяхвания и разтягания на гръдния кош, седалището и таза"
T03.2,"Изкълчвания, навяхвания и разтягания на няколко области от горен(-ни) крайник(-ци)"
T03.3,"Изкълчвания, навяхвания и разтягания на няколко области от долен(-ни) крайник(-ци)"
T03.4,"Изкълчвания, навяхвания и разтягания на няколко области на горен(-ни) и долен(-ни) крайник(-ци)"
T03.8,"Други съчетания на изкълчвания, навяхвания и разтягания на няколко области от тялото"
T03.9,"Множествени изкълчвания, навяхвания и разтягания, неуточнени"
T04,"Смазвания, обхващащи няколко области  от тялото"
T04.0,Смазвания на главата и шията
T04.1,"Смазвания на гръдния кош, областта на корема, седалището и таза"
T04.2,Смазвания на няколко области от горен(-ни) крайник(-ци)
T04.3,Смазвания на няколко области от долен(-ни) крайник(-ци)
T04.4,Смазвания на няколко области от горен(-ни) и долен(-ни) крайник(-ци)
T04.7,"Смазвания на гръден кош, корем, седалище, таз и крайник(-ци)"
T04.8,Други съчетания на смазвания на няколко области от тялото
T04.9,"Множествени смазвания, неуточнени"
T05,"Травматични ампутации, обхващащи  няколко области от тялото"
T05.0,Травматична ампутация на двете китки
T05.1,"Травматична ампутация на китката на едната ръка в съчетание с aмпутация на другата ръка на всяко ниво, освен на китката"
T05.2,Травматична ампутация на двете ръце на всяко ниво
T05.3,Травматична ампутация на двете стъпала
T05.4,"Травматична ампутация на едното стъпало в съчетание с ампутация на другия крак на всяко ниво, освен на стъпалото"
T05.5,Травматична ампутация на двата долни крайника на всяко ниво
T05.6,"Травматична ампутация на горен и долен крайник, всякаква комбинация [на всяко ниво]"
T05.8,"Травматични ампутации, обхващащи други области от тялото в различни комбинации"
T05.9,"Множествени травматични ампутации, неуточнени"
T06,"Други травми, обхващащи няколко  области от тялото, некласифицирани другаде"
T06.0,Травми на главния мозък и черепните нерви в съчетание с травми на гръбначния мозък и други нерви на ниво шия
T06.1,Травми на нервите и на гръбначния мозък с включване на няколко други области от тялото
T06.2,Травми на нервите с включване на няколко области от тялото
T06.3,Травми на кръвоносните съдове с включване на няколко области от тялото
T06.4,Травми на мускулите и сухожилията с включване на няколко области от тялото
T06.5,Травми на органите на гръдния кош в съчетание с травми на органите на коремната кухина и таза
T06.8,Други уточнени травми с включване на няколко области от тялото
T07,"Множествени травми, неуточнени"
T08,Счупване на гръбначния стълб  на неуточнено ниво
T09,Други травми на гръбначния стълб  и тялото на неуточнено ниво
T09.0,Повърхностни травми на тялото на неуточнено ниво
T09.1,Открита рана на тялото на неуточнено ниво
T09.2,"Изкълчване, навяхване и разтягане на стави и ставни връзки на неуточнено ниво на тялото"
T09.3,Травма на гръбначния мозък на неуточнено ниво
T09.4,"Травма на неуточнени нерви, коренчета на гръбначния мозък и нервните сплитове на тялото"
T09.5,Травма на неуточнени мускули и сухожилия на тялото
T09.6,Травматична ампутация на тялото на неуточнено ниво
T09.8,Други уточнени травми на тялото на неуточнено ниво
T09.9,Неуточнена травма на тялото на неуточнено ниво
T10,Счупване на горен крайник  на неуточнено ниво
T11,Други травми на горен крайник  на неуточнено ниво
T11.0,Повърхностна травма на горен крайник на неуточнено ниво
T11.1,Открита рана на горен крайник на неуточнено ниво
T11.2,"Изкълчване, навяхване и разтягане на неуточнена става и ставна връзка на горен крайник на неуточнено ниво"
T11.3,Травма на неуточнен нерв на горен крайник на неуточнено ниво
T11.4,Травма на неуточнен кръвоносен съд на горен крайник на неуточнено ниво
T11.5,Травма на неуточнени мускули и сухожилия на горен крайник на неуточнено ниво
T11.6,Травматична ампутация на горен крайник на неуточнено ниво
T11.8,Други уточнени травми на горен крайник на неуточнено ниво
T11.9,Неуточнена травма на горен крайник на неуточнено ниво
T12,Счупване на долен крайник  на неуточнено ниво
T13,Други травми на долен крайник  на неуточнено ниво
T13.0,Повърхностна травма на долен крайник на неуточнено ниво
T13.1,Открита рана на долен крайник на неуточнено ниво
T13.2,"Изкълчване, навяхване и разтягане на неуточнена става и ставна връзка на долен крайник на неуточнено ниво"
T13.3,Травма на неуточнен нерв на долен крайник на неуточнено ниво
