A08,гастроентеропатия
E89,метаболитен синдром ( артериална хипертония gr
E89," метаболитен синдром- екстремно затлъстяване, висока гликемия на гладно, дислипидемия, хиперурикемия "
E89," метаболитен синдром- затлъстяване, дислипидемия, висока гликемия на гладно, хиперурикемия "
E89,метаболитен синдром (обезитет iiiст
E89," метаболитен синдром / нарушена гликемия на гладно, обезитет, артериална хипертония/ "
E89," метаболитен синдром- затлъстяване, дислипидемия, висока гликемия на гладно "
E89," метаболитен синдром / дислипедимия, нарушена гликемия на гладно, артериална хипертония, обезитет/ "
E89," метаболитен синдром- екстремно затлъстяване, висока гликемия на гладно "
E89," метаболитен синдром / обезитет, дислипедимия, артериална хипертония/ базедовифицирана нодозна струма "
E89," метаболитен синдром- затлъстяване, "
E89,метаболитан синдром
E89," метаболитен синдром- нарушен въглехидратен толеранс, дислипидемия, хиперурикемия "
E89," метаболитен синдром- затлъстяване, дислипидемия, хиперурикемия "
E89," метаболитен синдром- затлъстяване, дислипидемия, артериална хипертония, хиперурикемия "
E89," метаболитен синдром- висцерално затлъстяване, нарушен въглехидратен толеранс, дислипидемия, артериална хипертония гр. 2 "
E89," метаболитен синдром/ дислипидемия, обезитет, инсулинова резистентност/ варици крурис "
E89," метаболитен синдром / захарен диабет тип 2, обезитет, артериална хипертония, дисилипидемия/ "
E89," метаболитен синдром- висцерално затлъстяване, нарушен въглехидратин толеранс, дислипидемия "
E89," метаболитен синдром /дислипидемия, нарушен въглехидратен толеранс"
E89," метаболитен синдром / нарушен глюкозен толеранс, обезитет и артериална хипертония/ субклиничен хипотиреоидизъм / "
E89," метаболитен синдром / обезитет, артериална хипертония, дилипидемия/ "
F02,дементен синдром
F06,органично шизофреноподобно разстройство
F29,афективна психоза статуст пост лхт ет аднексектомия синистра
F29,афективна психоза
F31,афективно разстройство - депресивен синдром
F31,афективно разстройство
F31,афективно растройство
F32,депресивен синдром
F32,депресивен синдром
F32,депресивен с-м
F32,депресивно разстройство
F32,депресия
F32,органично депресивно разтройство
F32,астено-депресивен синдром
F32,депресивен синдром
G12,спиноцеребеларна атрофия
G21,паркинсонова болест
G21,паркинсоноподобен синдром
G21,паркинсонов синдром
G21,болест на паркинсон
G22,паркинсонов синдром - ригидно-треморна форма
G24,вегетативна дистония
G24,невровегетативна дистония
G40,темпорална епилепсия
G40,епи - големи и малки припадъци
G40,епилепсия
G40,симптоматична хипертония
G40,симптоматична епилепсия
G40,епилепсия (посттравматична)
G40," симптоматична епилепсия - прости (моторни) и комплексни парциални пристъпи, вторично генерализирани тонично-клонични припадъци "
G40," епи- припадък, неуточнен "
G47,сънна апнея
G47,обструктивна сънна апнея
G63,ретино и невропатия диабетика
G63,ретино- ет полиневропатия диабетика
G63," ретинопатия, полиневропатия и ангиопатия диабетика "
G63,автономна диабетна невропатия
G63,ретино ет полиневропатия диабетика
G63," ретино, полиневропатия, нефропатия диабетика "
G63," ретино, нефро и полиневропатия диабетика "
G63,ретино и полиневропатия диабетика
G63,сензо-моторна полиневропатия
G63,сърдечна автономна невропатия
G63,сенилна каратаркта
G70,миастения гравис
G70,механичен иктер
G80,детска церебрална парализа
G99,отоиеврологичен см
G99,отоневрологичен синдром
H26,двустранна катаракта
H36,пролиферативна диабетна ретинопатия
H36,начална диабетна ретинопатия
H36,ретинопатия диабетика нон пролиферанс
H36,ретинопатия диабетика
H36,ретино и невропатия диабетика
H36,диабетна непролиферативна ретинопатия
H36,ретино- ет полиневропатия диабетика
H36,ретинопатия диабетика пролиферанс
H36," ретинопатия, полиневропатия и ангиопатия диабетика "
H36,непролиферативна диабетна ретинопатия
H36," невро, ретино и нефропатия диабетика "
H36,ретинопатия ет полиневропатия диабетика
H36," пролиферативна диабетна ретинопатия, състояние след алц "
H36,ретинопатия диабетика инц
H36,ретинопатия диапетика нон пролиферанс
H36,диабетна непролоферативна ретинопатия
H36,пролиферативна диабетна ретинапатия
H36,ретинопатия и полиневропатия диабетика
H36,диабетна непролиферативна ретинапатия
H36,ретинопатия диабетика ок. утр
H36,диабетна непролиферативна ретинопатия и нефропатия
H36,начална полиневропатия и ретинопатия
H36," ретинопатия, полиневропатия диабетика "
H36,ретинопатия диабетика ок. син
H40,глаукома
H40,глаукома холелитиаза
H40,глаукома?
H40,глаукома ок. утр
H54,амавроза
H54,двустранна амавроза
H54,амаврозис
H54,амавроза на дясно око
H54,амавроза на ляво око
H81,вестибулопатия
H81,вертебробазиларна недостатъчност
H81,вертебро-базиларна недостатъчност
H81,веретебро-базиларна недостатъчност - декомпенсирана
H81,декомпенсирана вертебро-базиларна недостатъчност
H81,вертебро- базиларна недостатъчност
H81,вертебрален и ляв компресивен полирадикулерен синдром
H91,глухота с увреждане на говора
I05,митрална инсуфициенция ІІ ст
I05,митрална и трикуспидална инсуфициенция
I05,митрална инсуфициенция І ст
I05,митрална инсуфициенция сн ІІфк
I05,митрална инсуфициенция -Іст
I05,стеноза и инсуфициенция на митрална и аортна клапи
I05,митрална инсуфициенция 2ст
I05,митрална инсуфициенция-ІІ ст
I05,митрална инсуфициенция ІІст
I05,стеноза на митрална клапа
I05,митрална инсуфициенция
I05,стеноза и инсуфициенция на митралната клапа
I05,митрална клапна калциноза
I05,митрална регургитация i-iiст
I05,митрална регургитация iст
I05,митрална регургитация ??ст
I15,вторична хипертония
I15,вторична хипертония
I15,вторична хипертония
I15,вторична хипертония
I15,вторична хипертония
I15,вторична хипертония
I15,артериална хипертония ІІІ ст
I15,хипертония арт. гр 2
I15,артериална хипертония ІІ степен
I15,хипертония артериалис гр. І
I15,артериална хипертония гр. ІІ
I15,артериална хипертония ІІ ст
I15,аретирална хипертония І ст
I15,артериална хипертония iст
I15,артериална хипертония гр. ii
I15,артериална хипертония ІІ кл
I15,артериална хипертония iii ст
I15,артериална хипертония ІІІст
I15,хипертония артериалис гр. ІІ
I15,артериална хипертония
I15,хипертония артериалис Ігр
I15,хипертония артериалис ii ст
I15,артериална хипертония ІІ ст. всп
I15,артериална хипертония-Іст
I15,артериална хипертония ІІІ кл
I15,артериална хипертония ii ст. ибс
I15,хипертония артериалис-гр
I15,артериална хипертониягр
I15," хипертония артериалис ІІгр, обезитас ІІІгр, хиперурикемия, дислипидемия/ "
I15,артериална хипертония І степен
I15,артериална хипертония ii ст
I15,артериална хипертония І-ІІ ст
I15,хипертония арт. гр 3
I15,артериална хипертония i ст
I15,хипертония артериалисІІгр
I15,артериална хипертония гр. І
I15,хипертония артериалис ІІІгр ибс
I15,артериална хипертония Іст
I15,артериална хипертония-ІІст
I15,артериална хипертония І ст. обс
I15,хипертония ІІ ст
I15,хипертония ІІ-ІІІ ст
I15,хипертония артериалис ІІгр. ибс
I15,артериална хипертония І ст
I15,хипертония арт. гр 1
I15,хипертония артериалис ІІгр
I15,артериална хиперотния ІІ ст
I15,хипертония арт. ІІІгр
I15,морбус хипертоникус гр. ІІ
I15,артериална хипертония -гр. ІІІ
I15,артериална хипертония ІІгр
I15,артериална хипертония iiст
I15,артериална хипетония І ст
I15,хипертония арт. гр. 1
I15,артерилана хипертония І ст
I15," артериална хипертония ІІр, хроничен гастрит "
I15,артериална хипертония- Іст
I15,артериална хипотония
I15,артериална хипертония - ІІІ ст
I15,хипертония арт 1-2
I15,артериална хипертония грii
I15,хипертоникус гр. І
I15,хипертония арт. гр1-2
I15,хипертония артериалис гр. І-ІІ
I15,хипертония арт. 1-2
I15,артериална хипертония гр. І. т
I15,артериална хипертония ІІгр. ибс
I15,хипертония артX обезитас гр 2
I15,артериална хипертония ІІІгр
I15,артериална хипертония гр ІІ
I15,артериална хипретония ІІІ ст
I15,аретреиална хипертония ІІ степен
I15,хипертония артериалис
I15,хипертония арт
I15,артериална хипертония гр
I15,хипертоникус гр. ІІ
I15,хипертония артериалис гр. ii
I15,хипертония арт. ІІгр
I15,артериална хипертония ІІ
I15,хипертония артериалис гр. ІІІ. ибс
I15,хипертония артериалис гр І1
I15,артериална хипертония ІІ ст. ибс
I15,артериална хипертония от Істепен
I15,артериална хипертония ii стадий
I15,хипертония артериалис ІІІгр
I15,артерилна хипертония І ст
I15,артериална хипертония-І ст
I15,хипертония арт. гр. 1-2
I15,хипертония арт. гр. ІІ. хобб
I15,хипертония артериалис ІІ гр
I15,артериална хипертония гр. iii
I15,хипертония арт. 1
I15,хипертония арт. гр
I15,артериална хипертония гр. i
I15,артериална хипертония-iст
I15,артериална хипертония гр. ii. ибс
I15,хипертония артериалис ii гр струма дифуза І б еутироидна
I15,хипертоникус гр І
I15,хипертония артериалис ii-стадии
I15,артериална хипертония iiiст
I15,хипертония арт. гр1
I15,артериална хипертония Ігр
I15," артераилна хипертония І степен, ІІ клиничен стадий "
I15,артериална хипертония -ІІст-
I15,хипертония артериалис гр 1
I15,артериалнахипертония-І ст
I15,морбус хипертоникус гр. І
I15,хипертония арт. гр 2. мсб
I15,хипертония артериалис гр. І І
I15,хипертония артериалис ІІ гр. ибс
I15,артериална хипертония-гр
I15,морбус хипертоникус гр. І-ІІ
I15,артериална хипертония І гр
I15,хипертония артериалис гр
I15,морбус хипертоникус ІІ клиничен стадий
I15,артериална хипертония-ІІІст
I15,артериална хипертония-Іст-
I15,артериална хипертония гр. І-ІІ
I15,артериална хипертония ІІІ клиничен стадий
I15,артериална хипертония ІІ гр
I15,ах гр. ІІ
I15,хипертония арт. гр. І
I15,артериална хипертония гр. ІІІ
I15,хипертония арт. гр2
I15,артериална хипертония-ІІст-
I15,хипертония арт. гр. 3
I15,хипертония артериалис гр. ІІІ
I15,артериална хипертония гр. ІІІ. ибс
I15,ахгр
I15,артериална хипертня Ігр
I15,хипертоникус гр. І. ибс
I15,симптоматична артериална хипертония
I15,артериална хипертония- ІІст
I15,хипертония арт гр 1
I15,артериална хипертоня ІІгр
I15,артериална хиперония ІІ гр
I15,хипертоникус гр. ІІ. хибс
I15,артериална хипертония гр. ІІ. ибс
I15,артериална хиепертония ІІст
I15,артериална хипертония i-ii ст
I15,артериална хипертония умерена степен ii стадий
I15,артерилана хипертония
I15,хипертоникус гр. І. мсб. ст
I15,хипертония арт. гр. ІІ
I15,хартериална хипертония-ІІІст
I15,артериална хипертония ІІІстханк- 2-3 ст
I15,артериална хипертония iiст. ибс
I15,морбус хипертоникус
I15,хипертоникус гр. ІІ. ибс. ст
I15,артериална хипертония гр. ii. обс
I15,ах iiiст
I15,артериална хирертония ІІгр
I15,артериална хипертония- І ст
I15,артериална хипертония ІІ гр. ибс
I15,артериална хипертония хобб
I15,ах- гр. iii
I15,артериална хипертония -ІІст
I15,артериална хипертония iiст. ибс. хобб
I15,артериална хипертония iii стадий
I15,артериална хипхертония-ІІІст
I15,артериална хипертония ii
I15,артериална хипертония гр. 2
I15,артериална хипертония-ІІст състояние след ми
I15,артериална хипартония І гр
I15,артериална хипертония -І ст
I15,хипертония арт. гр 2. ибс
I15,артериална ихперотния ІІІ кл. клас. ибс
I15,артериална хипертония ІІ
I15,хипертония артериалис симптоматика
I15,хипертония артериалис ІІІ кли
I15,артериална хипертония гр. ІІ гр. ибс
I15,артериална хипертония ІІст. ибс
I15,артериална хипертонияанемичен синдром
I15,ах гр. ii. хвбн
I15,хипертоникус гр. ІІ. т
I15,артериална хипертония гр. ІІ. обс
I15,артериална хипртония ІІІст
I15,артериална хипертония гр. ІІ. )
I15,ах
I15,артериална хипертония ІІст. хобб
I15,артериална хипертония гр. ІІІ. хибс
I15,артериална хипертония гр. ІІ. мсб
I15,артериална хипертония гр. 1
I15,артериална хипертония гр. ІІ)
I15,артерална хипертония ІІ ст
I15,артериална хипертония І-ІІ стадий
I15,артериална хипертония ii ст дислипидемия нарушена гликемия на гладно
I15,артериална хипертония ii. мсб
I15,артерилна хипертония ІІІ клиничен стадий
I15,артериална хипертония гр. ІІ. srрgt
I15,артериална хипертония гр ii
I15,артериална хипертония грІІ
I15,артериална хипертония ІІ клиничен стадий
I15,хипертония арт. гр 3. ибс
I15,артериална хипертония ІІгр. хибс
I15,артериална хипертония гр. ІІІ. мсб
I15,артериална хиретония І степен
I15,хипертония арт. ІІІ
I15,артерилна хипертония ІІгр
I15,арт
I15,хипертония ІІгр
I15,артериална хипертония 2ст
I15,артериална хипертония-ІІ-ІІІст
I15,артериална хипертония -Іст
I15,артериална хипертоиня ІІІ кл
I15,артериална хипертонияІст
I15,артериална хипертония ІІІ ст. мсб
I15,ах-гр
I15,хипертонична нефросклероза
I15,артериална хипертония І ст чернодробна стеатоза
I15,артериална хипертония- Іст-
I15,есенциална артериална хипертония от високоренинов тип
I15,хипертония артериалис І гр
I15,хипертония артериалис ІІ ст
I15,хипертония 1-2ст
I15,хипертония арт гр3 ибс - статус пост инфарктус миокардий
I15,артериална хипретония
I15,хипертония арт. 2
I15,хипертоникус гр. ІІІ
I15,хипертония арт. гр2-3
I15,хипертонична ретинопатия
I15,артериална хипертония-iiст
I15,хипертония артериалис ІІІ гр остеопорозис генерализата
I15,артериална хипертония 2 ст
I15,артериална хипертония гр. ІІ гр
I15,артериална хипертония Іi ст
I15,артериаална хипертония ІІгр
I15,артериална хипертония хипотиреоидизъм
I15,артериална хипертония - ii степен
I15,артериална хпертония ІІст
I15,артериална хипертониия ІІІгр
I15,хипертония артериалис гр 2
I15,артериална хепертония ІІ гр
I15,артериална хипертония ІІ ст. хвбн
I15,хипертоникус гр. ІІ. хобб
I15,ах iІст
I15,артериална хипертония)
I15,артериална хипертония ii-ст
I15,артериална хипетония ii ст
I15,артериална хипертония ІІІ
I15,артериална хипертония ?? ст
I15,артериална хипертония ???ст
I15,ах ІІІст
I15,хипертония арт. ІІ
I15,ах гр ii
I15,артериална хипертония ст. І
I15,артериална хипертония ??ст
I15,артериална хипертония ?ст
I15,артериална хипертония-iii степен
I15,артериална хипертония ІІ. ибс. ст
I15,ах gr. ii
I15,артериална хипертония от високоренинов тип
I15,артериална хипертония ii ст. лпхб
I15,артериална хипертония гр І
I15,хипертоникус гр. І. ст
I15,артериална хипертония ст
I15,хипертония артериалис гр iii
I15,артериална хипертонияІІст
I15,артериална хипертония iiст. мсб
I15,хипертония артериалис гр. i
I15,ах ? ст
I15,артериална хипертония iІ ст
I15,артериална хипертония гр. ???
I15,хипертоникус гр
I15,артериална хипертония гр. ??
I15,хипертония І гр
I15,хипертония артериалис гр ii
I15,хипертония артериалис grii
I15,артериална хипертония gr ii
I15,хипертония артериалис грii
I15,артериална хипертония ??? ст. мсб
I15,артериална хипертония гр. ІІст
I15,ах ІІст
I15,артериална хипертония-ii ст
I15,артериална хипертония 11 ст
I15,инциденталом артериална хипертония ІІ ст
I15,артериална хипертония- i ст
I15,артериална хипертония-i ст
I15,артериална хипертония-iiiст
I15,артериална хипертония гр iiІ
I15,артериална хипертония-i вторична анемия
I15,артериалана хипертония ІІгр
I15,ах гр
I15,артериална хипертония ІiІст
I15,хипертонично сърце сн ІІфк. ибс
I15,артериална хипертония 3 ст
I15,артериална хипертония i- ст
I15,артериална хипертониа ІІгр. ибс
I15,артериална хипертония - iiст
I15,артериална хипертония gr i
I15,ах гр. ??
I15,хипертония артериалис гр. iii
I15,хипертония артериалис гр. І. ст
I15,хипертония артериалис -гр. ІІ. ибс
I15,хипертония артериалис ii
I15,артериална хипертония 11ст
I15,артериална хипертония захарен диабет тип 2
I15,ах-iiiкл
I15,хипертония артериалис гр. І. ибс. ст
I15,ах iiст. обс
I15,ах iii ст
I15,артериална хипертоиня ІІ степен
I15,хипертония артериалис ii ст. ибс
I15,ах iiст
I15,артериална хипертония i степен
I15," артериална хипертония ІІгр,хипертонично сърце "
I15,ах гр. ii
I15,ах гр. iiІ
I15," артериална хипертония, хипоталамична дисфункция "
I15,артериална хипертоиня І-степен
I15,ах iст
I15,артериална хипертония ІІ-ІІІ клиничен стадий
I15,ах i ст
I15,ах Іст
I15,артериална хиперотния
I15,ах-iiст
I15,ах ii ст
I15,артериална хипертония гр ii. ибс. хобб
I15,ах 2 ст
I15,артериална хиупертония ii ст
I15,ах ІІ ст
I15,артериална хипертония-iii ст
I15,ах ii кл. ст
I15,ах-ІІст
I15,артериална хипертания
I15,ах гр. ІІІ
I15,артерилана хипертония-ІІст
I15,хипертония арт гр2
I15,артериална хипертония iiiст подагра
I15,ах гр. 2. хвбн
I15,артериалана хипертония гр. ii
I15,хипертонично сърце
I15,артериална хипертония ii гр
I15,артериална хипертония І ст. ибс
I15,ахii
I15,ах грXибс
I15,ах гр. i
I15,ах i ст. нгт
I15,ах -ІІст
I15,артериална хиппертония ІІ кл
I15,артериална хиперртония
I15,ах гр. І
I15,артериална хипертония - І ст
I15,хипертония арт гр3
I15,артериална хипертония gr. i
I15,ах грX ибс- ритъмна форма
I15,ах iiст. ибс
I15,артериална хипертония 2-3ст
I15,ах гр. 2. ибс
I15,артериална хипертоня ІІ степен
I15,хипертонична нефропатия
I15," артериална хипертония, нарушена гликемия на гладно/ "
I15,ах i ст. длп
I15,артериална хипертония гр i
I15,ах гр. 2-3
I15,артериална хипертония гр ii. пкяб
I15,ах гр. 2
I15,артериална хипртония
I15,ах грX рsоs
I15,ах грX метаболитен с-м
I15,артериална хиперотиня ІІ кл
I15,артериална хипертония gr. ii
I15,артериална хипертония 3ст
I15,ах ІІст. хмсб
I15,артериална хипертония - ІІ степен
I15,артерилана хипертония-ІІІст
I15,ах -iiiст
I15,ах ??ст
I15,атериална хипетония ІІ степен
I15,ах грX дислипидемия
I15,ах ???ст
I15,артериална хипертония 1-2ст
I15,артериална хипертония грX дислипидемия
I15,артериална хипертония грX
I15,артериална хипертония- iiст
I15,хипертония артериалис І ст
I15,артериална хипертония гр. 2-3
I15,арт хипертония гр X двустранна коксартроза
I15,хипертония арт гр 1-2
I15,артериална хипертония 3 стадий
I15,артериална хипертония грXдифузна еутиреоидна струма
I15,артериална хипертония грX рсоs
I15,артериална хипертония/
I15,хипертония артериалис гр. i-ii
I15,артериална хипертония ІІ-ІІІгр
I15,артериална хипертония i-ва степен
I15,артериална хипертония-ІІІ ст
I15,артериална хипертония гр1-2
I15,артериална хиепертония гр. 1-2
I15,артериална хипертония ii степен
I15,артериална хипертония ІІІ стадий
I15,артерилна хипертония
I15," артериална хипертония, ибс - едноклонова болест, състояние след стентиране на лад "
I15," артериална хипертония грXтиреоидит на хашимото- нодозен вариант, имунологично негативен- хипотиреоиден стадий "
I15," артериална хипертония грX тиреоидит на хашимото- нодозен вариант, еутиреоиден стадий "
I15,вторична хипертония
I20,нестабилна стенокардия
I20,нестабилна стенокардия
I20,стенокардия стабилес
I20,стенокардия стабилис
I20,стенокардиа нон стабиле
I20,стенокардия-ІІІфк
I20,стенокардия стабилис ІІІ фк
I20,стенокардия стабиле ІІ фк. м
I20,стенокардиа стабилис
I20,стенокардия
I20,стабилна стенокардия
I20,стабилна стенокардия ІІ фк
I20,стабилна стенокардия ІІ фк. икмп
I20,стабилна стенокардия ii фк
I20,стабилна стенокардия ІІ ф. к
I20,стабилна стенокардия-ІІІфк
I20,стабилна стенокардия iiфк
I20,стабилна стенокардия ii-iii фк
I21,нетрансмурален миокарден ифаркт
I21,инфарктус миокардии
I25,пост инсфарктус миокардии
I25,преживян миокарден инфаркт без ст-елевация
I25,пост инфарктус миокардии
I25,преживян миокарден инфаркт без ст-елевация хсн ІІІ фк
I25,пост инфаркти миокардии
I25,преживян ми
I25,преживян миокарден инфаркт X състояние след асвх3 X състояние след рсi и имплантация на стент на венозен графт към rса / м. 01. 2010/
I25,исхемична кардиомиопатия
I25,исхемична кардиопатия
I25,исхемична дилатативна кардиомиопатия
I25," ибс-двуклонова болест, реканализация и стентиране на lаd "
I25," ибс ритъмна форма, пристъпни тахикардии "
I25,ибс - ритумна форма
I25,ибс
I25,ибс - стабилна ангина пекторис
I25,ибс-ритъмно проводна форма
I25," ибс - едноклонова болест, състояние след стентиране "
I25,ибс - стабилна стенокардия
I25,ибс- ритъмна форма
I25,ибс - ритъмна форма
I25,ибс - състояние след прекаран миокарден инфаркт
I25,ибс пристъпна тахиаритмия при предсърдно трептене
I25,ибс-ритъмна форма
I25,ибс - стенокардия -ІІІ - Іv фк
I25,ибс
I25,ибс - стабилна стенокардия ІІІ фк
I25,ибс- ритъмна фом
I25,ибс - проводна форма
I25,ибс- стабилна стенокардия
I25,ибс-стабилна стенокардия
I25,ибс-статус пост инфарктус миокардии- долен
I25," ибс - ритъмна форма, пристъпна тахиаритмия"
I25,ибс- ритъмно - проводна форма
I25,ибс- ритъмно-проводна форма
I25,ибс - едноклонова болест
I25," ибс - ритъмна форма, пристъпна тахикардия, политопна екстрасистолия "
I25," ибс- ритъмна форма, аритмия абс "
I25,ибс - състояние след нетрансмурален миокарден инфаркт (1992 и 1998г
I25,ибс ритъмна форма
I25," ибс- ритъмна форма, аритмия абсолюта "
I25," ибс- ритъмна форма, пристъпно предсордно мъждене "
I25," ибс - ритъмна форма, пристъпно предсърдно мъждене "
I25," ибснестабилна стенокардия, камерна ес "
I25," ибс - триклонова болест, тахиаритмия "
I25,ибс- прекарани 2 миокардни инфаркта
I25,ибс-ритъмно-проводна форма
I25,ибс- многоклонова коронарна болест
I25," ибс- ритъмна форма, камерна екстрасиснолия "
I25,ибс - ритъмна форма /надкамерни екстрасистоли/
I25,ибс - състояние след миокарден инфаркт
I25,ибс - стенокардия стабиле
I25,ибс-сап-iiфк
I25,ибс- нестабилна стенокардия
I25,ибс - нестабилна стенокардия
I25,ибс - ритъмно-проводна форма - аv-бл
I25," ибс - състояние след 2 миокардни инфаркта X, 2006г/ "
I25,ибс - исхемична кардиопатия
I25," ибс - ритъмна форма, абсолютна аритмия при предсърдно мъждене "
I25,ибс-ап-iiфк
I25,ибс нап
I25,ибс- ритъмно- проводна форма
I25,ибс-състояние след прекаран миокарден инфаркт Xг/
I25,ибс-състояние след имплантиране на постоянен кардиостимулатор /мX състояние след електрокардиоверзио /м. 10. 08/
I25,ибс - триклонова болест
I25,ибс- аритмия абсолюта при предсърдно трептене
I25,ибс - двуклонова болест
I25,ибс стабилна стенокрадия
I25,ибс - перманентно предсърдно мъждене
I25," ибс - нестабилна ап, двуклонова болест "
I25,ибс- състояние след прекаран миокарден инфаркт
I25,ибс стенокардия стабилис
I25,ибс- постоянно предсърдно мъждене
I25," ибс-ритъмна форма, абсолютна аритмия при предсърдно мъждене "
I25,ибс-ритъмно- проводна форма
I25,ибс- състояние след обширен преден миокарден инфаркт
I25,ибс-състояние след преживян миокарден инфаркт
I25,ибс проводна форма
I25,ибс - прекаран миокарден инфаркт
I25,ибс-нестабилна стенокардия
I25," ибс- ритъмно -проводна форма дбб, лпхб "
I25,ибс - сап ii-iiiфк
I25,ибс- състояние след миокарден инфаркт
I25,ибс- ритъмно проводна форма
I25,ибсстабилна стенокардия
I25,ибс - абсолютна аритмия
I25,ибс - състояние след преден миокарден инфаркт без ст елевация
I25,ибс - състояние след прекаран миокарден инфаркт Xг/
I25,ибс - стабилна стенокардия ІІІ ф. к
I25,ибс- преживян ми
I25,ибс- преживян миокарден инфаркт
I25,ибс- преживян ми-долен
I25,ибс-стабилна стенокардия ІІфк
I25,ибс - сап-ІІ ф. к
I25,ибс - хронично предсърдно мъждене-трептене
I25," ибс- нап, състояние след ртса и стент на лад "
I25," ибс, състояние след прекаран миокарден инфаркт "
I25,ибс-сап iii фк
I25,ибс - стар задно-долен миокарден инфаркт
I25,ибс-ритъмна форма - постоянно предсърдно мъждене
I25,ибс- проводна форма
I25,ибс - сап
I25,ибс - ритъмна форма - абсолютна аритмия при предсърдно мъждене
I25,ибс - преживян ми
I25,ибс - стенокардна форма
I25,ибс - стабилна стенокардия ii фк
I25,ибс ii фк
I25,ибс- триклонова болест
I25,ибс- стабилна стенокардия ii фк
I25,ибс - абсолютна аритмия при предсърдно мъждене
I25,ибс- стабилна стенокардия ІІІ фк
I25," ибс- стволова стеноза, състояние след преживян миокарден инфаркт "
I25,ибс - състояние след прекаран миокарден инфаркт Xг/. лпхб
I25,ибс стабилна стенокардия
I25,ибс - ритъмно-проводна форма
I25," ибс - триклонова болест, състояние след рtсi, стентиране на дка "
I25,ибс - стабилна стенокардия ІІ ф. к
I25,ибс - ритъмно - проводна форма
I25,ибс-„тиха” исхемия
I25,ибс - преживян задно-долен миокарден инфарктX състояние след рсi на дка /dеs-сyрhеr/
I25," ибс-ритъмна форма, камерна екстрасистолия "
I25,ибс- състояние след ми
I25," ибс - стар миокарден инфаркт, ап ІІ фк "
I25,ибс - ми в хронична фаза
I25,ибс- стар миокарден инфаркт
I25,ибс - ритъмна форма - монотопна камерна екстрасистолия - І клас
I25,ибс-проводна форма
I25,ибс- състояние след миокарден инфаркт Xг/
I25," ибс - едноклонова болест, състояние след стентирате на лад "
I25," ибс - състояние след миокарден инфаркт, акбх4, пейсмекър "
I25,ибс-инфаркт на миокарда в хронична фаза
I25," ибс - ритъмна форма - лбб, надкамерна екстрасистолия "
I25," ибс, едноклонова болест "
I25,ибс - състояние след преживян миокарден инфаркт
I25," ибс, сн ІІ фк "
I25,ибс -ритъмна форма
I25,ибс нестабилна стенокардия
I25,ибс - състояние след преживян оми
I25,ибс сап 2фк
I25,ибс- нап
I25,ибс- преживян долен ми
I25,ибс - пристъпна тахиаритмия при предсърдно мъждене
I25,ибс- абсолютна аритмия при предсърдно трептене
I25," ибс - едноклонова болест, състояние след стентиране на лад "
I25,хибс
I25,хибс статус пост инфарктус миокардий
I25,хибс
I25,хибс- абсолютна аритмия при пм
I25,хибс- ритъмна форма
I25,хибс - ритъмна форма
I34,аортна и митрална инсуфициенция
I35,стеноза на дясна вертебрална артерия
I35,стеноза на дясна вътрешна каротидна артерия
I35,високостепенна аортна стеноза
I35,аортна стеноза
I35,стеноза на аортната клапа
I35,аортна стеноза и регургитация
I35,високостепенна дегенеративна аортна стеноза
I35,стеноза на вертебралната артерия
I35,стеноза на дясна каротидна артерия
I35,аортна инсуфициенция
I35,аортна клапна калциноза
I35,калциноза на аортната клапа
I42,хипертрофия гл
I42,левокамерна хипертрофия
I44,лбб
I44,лбб+ лпхб
I45,дбб
I45,дбб+ лпхб
I48,перманентно предсърдно мъждене
I48,персистиращо предсърдно мъждене
I50,застойна сърдечна недостатъчност І фк
I50,хронична сърдечна недостатъчност iii фк по ниха
I50,хсн ІІІ фк
I50,хсн ІІ ф. к
I50,хсн ІІІ фк по ниха
I50,хсн- ІІфк
I50,хсн-ІІІ фк по ниха
I50,хронична сърдечна недостатъчност iii фк по nyhа
I50,хсн ii фк
I50,хсн ІІ фк
I51,върхова лявокамерна тромбоза
I67,аневризма на дясна средно-мозъчна артерия
I67,хронична мсб
I67,мсбІ каротидна и вертебробазиларна недостатъчност
I67,мсб
I67,хронична мозъчна-съдова болест
I67,мозъчно-съдова болест
I67,мозъчно- съдова болест
I67,мсб - хвбсн
I67,мозъчносъдова болест
I67,мсб - латентна недостатъчност
I67,мсб
I67,мозъчно съдова болест
I67,мсб - състояние след исхемичен инсулт в басейна на дясна средно мозъчна артерия
I67,мозъчно-съдова болест- състояние след мозъчен инсулт
I67,мсб катаракта
I67,мсб- състояние след исхемичен мозъчен инсулт в блсма
I67,мсб - състояние след прекаран мозъчен инсулт
I67,мозъчно съдова болест с вертебро-базиларна недостатъчност
I67,мсб: състояние след исхемичен мозъчен инсулт
I67,мсб- състояние след исхемичен мозъчен инсулт
I67,мсб- верттебробазиларна недостатъчност
I67,мбс
I67," мсб - състояние след мозъчен инсулт X, 2009г/ "
