icd,Latin,Transliterated
E78,"Hypercholesterolemia, Autosomal Recessive, II, Olim","хиперхолестеролемиа, аутозомал рецессиве, ии, олим"
E75,neuronal ceroid lipofuscinosis I aetate impetu variabilis,неуронал цероид липофусцинозис I етате импету вариабилис
E75,"Osteochondrosis Gerold, Neuronal, D-Cathepsin Deficient","остеохондрозис геролд, неуронал, д-катепсин дефициент"
G20,autosomal recessive primo impetu Parkinson scriptor morbus-XXIII,аутозомал рецессиве примо импету паркинзон скриптор морбус-кскзиии
M62,musculus naturaliter dystrophy producendo arthrogryposis,мускулус натуралитер дистрофи продуцендо артрогрипозис
G71,"TOROSUS DYSTROPHIA, Congenita, MEGACONIAL Type: MDCMC","торосус дистрофиа, конгенита, мегакониал типе: MDCMC"
G71,myopathy ex naturali defectu Integrin alpha-VII,миопати екс натурали дефекту интегрин алфа-вии
C67,parietis anterioris malignum vesicae urinariae,париетис антериорис малигнум везицае уринарие
Q87,"X coniunctum intellectualis vitium, Milo-genus Carpenter","X кониунктум интелектуалис вициум, мило-генус карпентер"
Q87,"Mentis retardatio, X Linked, Syndromic, Siderius Type","ментис ретардацио, X линкед, синдромик, сидериус типе"
Q77,"DYSSEGMENTAL DYSPLASIA, ligula HANDMAKER-type: DDSH","диссегментал дисплазиа, лигула хандмакер-типе: ддсх"
Q87,"Mentis retardatio, X Linked, Syndromic, Armfield Type","ментис ретардацио, X линкед, синдромик, армфиелд типе"
Q79,xylosylprotein beta-IV-defectus Xenopus laevis,ксилосилпротеин бета-ив-дефектус кзенопус левис
E75,neuronal ceroid lipofuscinosis variabilis aetate II ad impetum validum,неуронал цероид липофусцинозис вариабилис етате II ад импетум валидум
E75,neuronal ceroid lipofuscinosis VI aetate impetu variabilis,неуронал цероид липофусцинозис VI етате импету вариабилис
G23,Cum Cerebro cumulus ferrum Neurodegeneration 2 A genus,кум церебро кумулус феррум неуродегенерацион 2 а генус
G23,Neurodegeneration cumulus ferrum apparet ingenium et generis 2B,неуродегенерацион кумулус феррум аппарет ингениум ет генерис 2б
G11,autosomal recessive universa SPASTICUS paraplegia genus 9B,аутозомал рецессиве универза спастикус параплегиа генус 9б
Q87,"Microcephaly, et intelligentia normalis Tuberculosis","микроцефали, ет интелигенциа нормалис туберкулозис"
H30,Alii chorioretinitis et retinochoroiditis (inordinatio),алии хориоретинитис ет ретинохороидитис (инординацио)
M05,"Splenomegaly, rheumatoid arthritis, neutropenia syndrome","спленомегали, реуматоид артритис, неутропениа синдроме"
M25,Hemarthrosis in pelvis regione et femur (inordinatio),хемартрозис ин пелвис регионе ет фемур (инординацио)
E23,autosomal recessive semel defectum incrementum hormone,аутозомал рецессиве семел дефектум инкрементум хормоне
E72,"Ingenia errorem urea synthesis tempus, sicuti genus arginino succinic","ингениа еррорем уреа синтезис темпус, сикути генус аргинино сукциник"
H65,"acuta, non media, suppurative otitis - tunica (inordinatio)","акута, нон медиа, суппуративе отитис - туника (инординацио)"
P57,Kernicterus isoimmunization propter caloris fetus et neonati,керниктерус изоиммунизацион проптер калорис фетус ет неонати
D48,Giant tumorem os n cellula (morphologic deprauationem),гиант туморем ос н целула (морфологик депрауационем)
D12,"Gastrointestinal polyposis ectodermal mutat syndrome,","гастроинтестинал полипозис ектодермал мутат синдроме,"
Q38,51P vehementissimo imbri et / aut palatum aliquantulum in grauedine uicina anorum inferioris 51P,51п вехементиссимо имбри ет / аут палатум аликвантулум ин грауедине уицина анорум инфериорис 51п
C75,Neuroectodermal primitivam naturae vocatur glandula pinealis:,неуректодермал примитивам натуре вокатур гландула пинеалис:
E79,X coniunctum cum ataxia et rupisti surditatem exitiale damnum visionis,X кониунктум кум атакзиа ет руписти сурдитатем екзициале дамнум визионис
E79,X-surditas coniunctum cum ataxia et exitiale damnum visionis,кс-сурдитас кониунктум кум атакзиа ет екзициале дамнум визионис
Q74,"Congenita cor morbo cum medulla dysostosis humero,","конгенита кор морбо кум медула дисостозис хумеро,"
D56,Beta-X Thalassaemia coniunctum mentalibus Retardation Domini High Definition,бета-кс талассемиа кониунктум менталибус ретардацион домини хигх дефиницион
D56,Beta Thalassaemia / X coniunctum mentalibus Retardation Domini High Definition,бета талассемиа / X кониунктум менталибус ретардацион домини хигх дефиницион
I42,Dilated cardiomyopathy secundarium ad Vocatus (inordinatio),дилатед кардиомиопати секундариум ад вокатус (инординацио)
G90,"Neuropathia, autonomica Hereditario et sensoria, Type III","неуропатиа, аутономика хередитарио ет сензориа, типе III"
E75,"sudanophilic leukodystrophy, Paelizeus Merzbacher genus,","суданофилик леукодистрофи, пелицеус мерзбахер генус,"
E72,SUCCINIC semialdehyde dehydrogenase; SSADHD,сукциник семиалдехиде дехидрогеназе; ссадхд
G71,autosomal dominant Carl Orff-II Dreifuss muscular dystrophy,аутозомал доминант карл орфф-ии дреифусс мускулар дистрофи
H35,autosomal recessive pericentralibus pigmentary retinopathy,аутозомал рецессиве перицентралибус пигментари ретинопати
H26,hyperferritinemia cataractae de hereditate controversia nati,хиперферритинемиа катаракте де хередитате контроверзиа нати
Q87,X syndromic coniunctum genus intellectualis vitium Turner,X синдромик кониунктум генус интелектуалис вициум турнер
Q87,X syndromic coniunctum genus intellectualis vitium Shashi,X синдромик кониунктум генус интелектуалис вициум схасхи
D69,autosomal dominant macrothrombocytopenia actis TUBB1,аутозомал доминант макротромбоцитопениа актис тубб1
G11,autosomal recessive universa SPASTICUS paraplegia genus 9B,аутозомал рецессиве универза спастикус параплегиа генус 9б
E75,atypical Galcherum scriptor morbo debitum ad defectum c saposin,атипикал галхерум скриптор морбо дебитум ад дефектум c сапозин
G71,"Congenita myotonia, autosomal dominant forma (inordinatio)","конгенита миотониа, аутозомал доминант форма (инординацио)"
P91,lascivae orationis ratae partis commensus fieri periventricular Abacavir,ласциве орационис рате партис коммензус фиери перивентрикулар абакавир
A02,Salmonelosis (& [gastroenteritis] vel [cibi]),салмонелозис (& [гастрентеритис] вел [циби])
A01,Salmonelosis (& [gastroenteritis] vel [cibi]),салмонелозис (& [гастрентеритис] вел [циби])
Q87,Et plures Macrocephaly pseudopapilledema hemangiomas,ет плурес макроцефали псеудопапиледема хемангиомас
I45,Ventriculorum arrhythmia diu consociata cum altera QT syndrome,вентрикулорум арритмиа диу конзоциата кум алтера кт синдроме
I77,Reticularis Idiopathic livedo cum systemica involvement,ретикуларис идиопатик ливедо кум системика инволвемент
C96,Morbo-Letterer Siwe involving intrapelvic nodorum lymphaticorum,морбо-леттерер сиве инволвинг интрапелвик нодорум лимфатикорум
E83,Hemochromatosis vitaretur ob defectum 1N Transferrin receptor II,хемохроматозис витаретур об дефектум 1н трансферрин рецептор II
E83,hemochromatosis propter defectum virtutis transferrin receptor II,хемохроматозис проптер дефектум виртутис трансферрин рецептор II
G23,CONSPISSATIO III DE FERRO NEURODEGENERATION cerebello; NBIA3,консписсацио III де ферро неуродегенерацион церебело; нбиа3
G23,Neuroferritinopathy; Basali ganglia Morbus quoque pestifer Lang-CONREPTIO,неуроферритинопати; базали ганглиа морбус квокве пестифер ланг-конрепцио
E40,"Nutritionis ex OEDEMA, cutis et capillos cum dyspigmentation","нутриционис екс едема, кутис ет капилос кум диспигментацион"
N71,Laesio tuba dolor morbus NOS (inordinatio),лезио туба долор морбус нос (инординацио)
J93,pneumothorax sponte tensio (inordinatio) [ambigua],пнеумоторакс спонте тензио (инординацио) [амбигуа]
C72,vestibular maligna tumore porus acusticus (inordinatio),вестибулар малигна туморе порус акустикус (инординацио)
B67,Echinococcus granulosus infectio thyreoideae (inordinatio),ехинококкус гранулосус инфекцио тиреоидее (инординацио)
C83,Anterior Marginal Zonam ad lymphoma Villous lymphocytes,антериор маргинал зонам ад лимфома вилоус лимфоцитес
Q80,Linked Erythroderma Ichthyosiformis congenita est Brocq,линкед еритродерма ихтиозиформис конгенита ест брокк
G60,"Charcot dens Mariae, morbo-features pyra syndrome","харкот денс марие, морбо-феатурес пира синдроме"
C56,Neoplasma malignum mixta mesodermal MÃ¼llerian de germine,неоплазма малигнум микста мезодермал мã¼лериан де гермине
C56,Humana malignas mixta mesodermal Mullerian tumor de germine,хумана малигнас микста мезодермал мулериан тумор де гермине
Q84,"HYPERTRICHOSIS congenita Universalis, AMBRAS Type: HTC1","хипертрихозис конгенита универзалис, амбрас типе: хтк1"
H18,"Cornea Dystrophy, Francois-Neetens fuerint lita","корнеа дистрофи, франкоис-неетенс фуеринт лита"
G11,cerebellar ataxia primo congressu hostem cum myoclonus (inordinatio),церебелар атакзиа примо конгрессу хостем кум миоклонус (инординацио)
Q87,"Cum pede syndrome-digital vultus, oris abnormitates","кум педе синдроме-дигитал вултус, орис абнормитатес"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam IX","арритмогеник ригхт вентрикулар дисплазиа, економикам IX"
H04,"ignotis locis, acuti inflammatio lacrimalis","игнотис лоцис, акути инфламмацио лакрималис"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam II","арритмогеник ригхт вентрикулар дисплазиа, економикам II"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam IV","арритмогеник ригхт вентрикулар дисплазиа, економикам IV"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam V","арритмогеник ригхт вентрикулар дисплазиа, економикам V"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam III","арритмогеник ригхт вентрикулар дисплазиа, економикам III"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam VIII","арритмогеник ригхт вентрикулар дисплазиа, економикам VIII"
I42,"Arrhythmogenic right ventricular DYSPLASIA, oeconomicam VI","арритмогеник ригхт вентрикулар дисплазиа, економикам VI"
G71,Impar deperditionem DNA SYNDROME II (MYOPATHIC EXEMPLUM),импар депердиционем дна синдроме II (миопатик екземплум)
C81,"Hodgkin scriptor morbus, n lymphocytic detractio (inordinatio)","ходгкин скриптор морбус, н лимфоцитик детракцио (инординацио)"
K00,amelogenesis pigmentatus hypomaturation imperfecta type I,амелогенезис пигментатус хипоматурацион имперфекта типе I
K00,amelogenesis pigmentatus hypomaturation imperfecta type II,амелогенезис пигментатус хипоматурацион имперфекта типе II
Q04,"Ataxia occrebellaris, Autosomal Recessive V, Olim","атакзиа оккребеларис, аутозомал рецессиве в, олим"
E27,"ADRENOCORTICAL HYPOFUNCTION, PRIMARIUM Congenita PRODUCTUS","адренокортикал хипофункцион, примариум конгенита продуктус"
C25,"Carcinoma in Cerebrum Colloid Intraductal Papillary,","карцинома ин церебрум колоид интрадуктал папилари,"
H44,hypotony de oculo consociata cum altera oculorum inordinatio,хипотони де окуло конзоциата кум алтера окулорум инординацио
E26,"Cum Hypercalciuria Hypokalemic alkalosis, Antenatal, II","кум хиперкалциуриа хипокалемик алкалозис, антенатал, II"
Q12,"I cataracta, multa sunt genera, cum aut sine microcornea","I катаракта, мулта сунт генера, кум аут сине микрокорнеа"
C06,malignum vestibulum oris NOS (inordinatio),малигнум вестибулум орис нос (инординацио)
G60,Et per gastrointestinal distemperantia CIP hyperhidrosis,ет пер гастроинтестинал дистемперанциа цип хиперидрозис
G60,"Periphericis neuropathia sensuale, autosomal dominant (PSN)","периферицис неуропатиа сензуале, аутозомал доминант (псн)"
Q12,"IX Cataractam praeterfluit, Types etext Notes Multiple, et non sine Microcornea","IX катарактам претерфлуит, типес етекст нотес мултипле, ет нон сине микрокорнеа"
Q12,"III Cataractam praeterfluit, Types etext Notes Multiple, et non sine Microcornea","III катарактам претерфлуит, типес етекст нотес мултипле, ет нон сине микрокорнеа"
Q21,ASD cum aut sine macula atrioventriculare sin istrum conduction,асд кум аут сине макула атриовентрикуларе син иструм кондукцион
G12,"Musculorum spinales ATROPHIA, distalis, autosomal recessive, I","мускулорум спиналес атрофиа, дисталис, аутозомал рецессиве, I"
Q12,"IV Cataractam praeterfluit, Types etext Notes Multiple, et non sine Microcornea","IV катарактам претерфлуит, типес етекст нотес мултипле, ет нон сине микрокорнеа"
Q12,"Cataractam, Autosomal Recessive Early-CONREPTIO circumdata, pulverulenta","катарактам, аутозомал рецессиве еарли-конрепцио циркумдата, пулверулента"
G60,"autosomal recessive Charcot dens Mariae, morbo genus 4 ^","аутозомал рецессиве харкот денс марие, морбо генус 4 ^"
P78,"PROFLUVIUM V: CUM TUFTING ENTEROPATHY, Congenita; DIAR5","профлувиум в: кум туфтинг ентеропати, конгенита; диар5"
G60,"Charcot dens Mariae, RECIPROCUS media B neuropathia","харкот денс марие, реципрокус медиа б неуропатиа"
G60,"Charcot dens Mariae, Neuropathy, medii et Dominus dominantium","харкот денс марие, неуропати, медии ет доминус доминанциум"
G60,"Dens Mariae, Charcot Morbus quoque pestifer coniunctum Recessive X, V typus","денс марие, харкот морбус квокве пестифер кониунктум рецессиве кс, V типус"
Q81,"Epidermolysis Bullosa Herpetiformis, Dowling Type Meara,","епидермолисис булоза херпетиформис, довлинг типе меара,"
E83,"ACRODERMATITIS ENTEROPATHICA, ZINC VITIUM-type: AEZ","акродерматитис ентеропатика, цинк вициум-типе: ец"
G71,"musculorum, artus girdle dystrophy ex defectu TRIM32","мускулорум, артус гирдле дистрофи екс дефекту трим32"
E83,"hereditarium hypophosphatemic rickets, autosomal dominant","хередитариум хипофосфатемик риккетс, аутозомал доминант"
G12,"Musculorum spinales ATROPHIA, LATE-CONREPTIO, Finkel Type: SMAFK","мускулорум спиналес атрофиа, лате-конрепцио, финкел типе: змафк"
Q87,"Lymphedema, et microcephaly chorioretinopathy syndrome","лимфедема, ет микроцефали хориоретинопати синдроме"
G71,"Dreifuss muscular dystrophy Carl Orff-II, autosomal dominant","дреифусс мускулар дистрофи карл орфф-ии, аутозомал доминант"
D12,MUTYH attenuato-related rem domesticam nouerant adenomatous polyposis,мутих аттенуато-релатед рем доместикам ноуерант аденоматоус полипозис
G60,"autosomal recessive Charcot morbo genus dens Mariae, 4H","аутозомал рецессиве харкот морбо генус денс марие, 4х"
G60,"autosomal recessive Charcot morbo genus dens Mariae, 4G","аутозомал рецессиве харкот морбо генус денс марие, 4г"
G60,"Charcot dens Mariae, Neuropathy, domine medium C","харкот денс марие, неуропати, домине медиум C"
G60,"Charcot dens Mariae, Neuropathy, domine medium D","харкот денс марие, неуропати, домине медиум D"
G60,"Charcot dens Mariae, RECIPROCUS medium A neuropathia","харкот денс марие, реципрокус медиум а неуропатиа"
G60,autosomal recessive neuromyotonia axonal et neuropathia,аутозомал рецессиве неуромиотониа акзонал ет неуропатиа
G11,"Cum Sensorimotor Neuropathy Ataxia, autosomal dominant","кум сензоримотор неуропати атакзиа, аутозомал доминант"
Q81,Epidermólisis vesicular junctionalis atresia et sphincteris pyloricum,епидермóлизис везикулар йункционалис атрезиа ет сфинктерис пилорикум
E77,"Congenita inordinatio Herpesviridae; Type IV, Olim","конгенита инординацио херпесвириде; типе ив, олим"
K59,Longos-intestinorum Phaeodactylum tricornutum atrial dysrhythmia inordinatio,лонгос-интестинорум феодактилум трикорнутум атриал дисритмиа инординацио
E72,hypermethioninemia encephalopathy ex defectu ADK,хиперметионинемиа енцефалопати екс дефекту адк
C56,Humana malignas mixta mesodermal MC <llerian naturae Ovarium,хумана малигнас микста мезодермал MC <лериан натуре овариум
Q56,"XLVI, ex Albo Composito XY sexus progressionem inordinatio ex defectu LHB","кслви, екс албо композито кси секзус прогрессионем инординацио екс дефекту лхб"
Q34,Sacralis lateralis Dyskinesia: Prima: XXI: Sine Situs Inversus,сакралис латералис дискинезиа: прима: кскзи: сине ситус инверзус
E74,"Ataxia, non continuo, Ricinus communis venis abnormes et metabolismus","атакзиа, нон континуо, рицинус коммунис венис абнормес ет метаболизмус"
H81,"functionis organorum vestibularium inordinationem, non specificatus (inordinatio)","функционис органорум вестибулариум инординационем, нон спецификатус (инординацио)"
H35,degeneratio maculae in posteriore seu polus NOS (inordinatio),дегенерацио макуле ин постериоре сеу полус нос (инординацио)
Q34,Sacralis lateralis Dyskinesia: Prima: XXIV: Sine Situs Inversus,сакралис латералис дискинезиа: прима: кскзив: сине ситус инверзус
E83,"HYPOMAGNESEMIA V, renum, cum oculorum INVOLVEMENT; HOMG5","хипомагнеземиа в, ренум, кум окулорум инволвемент; хомг5"
E71,Vitamin B12-genus dociles methylmalonic acidemia cblB,витамин б12-генус доцилес метилмалоник ацидемиа кблб
E71,Vitamin B12-genus dociles methylmalonic acidemia cblA,витамин б12-генус доцилес метилмалоник ацидемиа кбла
E71,Vitamin B12-genus dociles methylmalonic aciduria cblA,витамин б12-генус доцилес метилмалоник ацидуриа кбла
G24,Autosomal recessive sepiapterin vulgare deficientem DRD,аутозомал рецессиве сепиаптерин вулгаре дефициентем дрд
G40,"MORBUS COMITIALIS cum generativus invasiones PLUS lingua sed torpet, type I","морбус комициалис кум генеративус инвазионес плус лингва сед торпет, типе I"
G12,"Musculorum spinales ATROPHIA, distalis, autosomal recessive, II","мускулорум спиналес атрофиа, дисталис, аутозомал рецессиве, II"
E75,Pelizaeus-ut-Merzbacher morbo debitum ad mutationem HSPD1,пелицеус-ут-мерцбахер морбо дебитум ад мутационем хспд1
E75,Pelizaeus-ut-Merzbacher morbo debitum ad mutationem AIMP1,пелицеус-ут-мерцбахер морбо дебитум ад мутационем аимп1
E23,Angiokeratoma Corporis HYPOGONADOTROPIC VIII cum aut sine Anosmia,ангиокератома корпорис хипогонадотропик VIII кум аут сине анозмиа
I67,"cerebrum morbo vasa parvuli, ex anomalia Riegar Axenfeld,","церебрум морбо ваза парвули, екс аномалиа риегар акзенфелд,"
I67,"Parvus enim vas morbo et cerebrum, Axenfeld Rieger anomaliae","парвус еним вас морбо ет церебрум, акзенфелд риегер аномалие"
Q75,Et cadaver uxoris cum argumentis dysostosis Mandibulofacial preaxial,ет кадавер укзорис кум аргументис дисостозис мандибулофациал преакзиал
G73,exitiale cardiomyopathy ex naturali hypertrophic GSD,екзициале кардиомиопати екс натурали хипертрофик гсд
E74,exitiale cardiomyopathy ex naturali hypertrophic GSD,екзициале кардиомиопати екс натурали хипертрофик гсд
E23,Angiokeratoma Corporis VII HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис VII хипогонадотропик кум аут сине анозмиа
C04,malignum ventriculi lateralis area de ore Dei,малигнум вентрикули латералис ареа де оре деи
Q34,"Sacralis lateralis Dyskinesia: Prima, XXIX: Sine Situs Inversus","сакралис латералис дискинезиа: прима, кскзикс: сине ситус инверзус"
Q34,Sacralis lateralis Dyskinesia: Prima: XXXII: Sine Situs Inversus,сакралис латералис дискинезиа: прима: кскскзии: сине ситус инверзус
Q34,Sacralis lateralis Dyskinesia: Prima: XII: Sine Situs Inversus,сакралис латералис дискинезиа: прима: кзии: сине ситус инверзус
Q34,"Sacralis lateralis Dyskinesia: Prima, XI, sine Situs Inversus","сакралис латералис дискинезиа: прима, кзи, сине ситус инверзус"
Q34,"Sacralis lateralis Dyskinesia: Prima, XXVII: Sine Situs Inversus","сакралис латералис дискинезиа: прима, ксксвии: сине ситус инверзус"
Q77,"Arthropathy, PROGRESSIVE PSEUDORHEUMATOID, erant parvuli","артропати, прогрессиве псеудореуматоид, ерант парвули"
Q87,X coniunctum intellectualis vitium debitum ad mutationes PQBP1,X кониунктум интелектуалис вициум дебитум ад мутационес пкбп1
D61,constitutionalis rubrum veteres pura cellula aplasia (inordinatio),конституционалис рубрум ветерес пура целула аплазиа (инординацио)
E75,"Gerold lipofuscinosis, neuronal, 4B, autosomal dominant","геролд липофусцинозис, неуронал, 4б, аутозомал доминант"
G71,1a naturali merosin deficientem musculorum genus dystrophy,1а натурали мерозин дефициентем мускулорум генус дистрофи
G71,merosin deficientem naturali 1a musculorum genus dystrophy,мерозин дефициентем натурали 1а мускулорум генус дистрофи
C67,paries posterior malignum vesicae urinariae,париес постериор малигнум везицае уринарие
F72,"Mentis retardatio, X-ordo seritur, SYNDROMIC, wu Type: MRXSW","ментис ретардацио, кс-ордо серитур, синдромик, ву типе: мркссв"
Q87,"mentis retardatio, X syndromic coniunctum, Nascimento genus,","ментис ретардацио, X синдромик кониунктум, насцименто генус,"
Q87,"mentis retardatio, X coniunctus, XI syndromic, Shashi genus","ментис ретардацио, X кониунктус, XI синдромик, схасхи генус"
E23,Angiokeratoma Corporis IX HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис IX хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis I HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис I хипогонадотропик кум аут сине анозмиа
C16,malignum pylorus NOS (inordinatio),малигнум пилорус нос (инординацио)
Q77,"Condrodisplasia neonatales letalis est, sicut cochlea renalis","кондродисплазиа неонаталес леталис ест, сикут кохлеа реналис"
E01,"IODUM defectus ex actis (endemicae) tumidum guttur chronicus, non specificatus","иодум дефектус екс актис (ендемицае) тумидум гуттур хроникус, нон спецификатус"
E75,"Osteochondrosis Neuronal Gerold, Late infantiles Adversus","остеохондрозис неуронал геролд, лате инфантилес адверзус"
G23,CONSPISSATIO IV DE FERRO NEURODEGENERATION cerebello; NBIA4,консписсацио IV де ферро неуродегенерацион церебело; нбиа4
G23,CONSPISSATIO V DE FERRO NEURODEGENERATION cerebello; NBIA5,консписсацио V де ферро неуродегенерацион церебело; нбиа5
E74,Glycogen repono morbo debitum ad defectum acidum maltase,гликоген репоно морбо дебитум ад дефектум ацидум малтазе
Q87,"Microcephaly, immunodeficiency syndrome-lymphoreticuloma","микроцефали, иммунодефициенци синдроме-лимфоретикулома"
E23,Angiokeratoma Corporis IV HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис IV хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis V HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис V хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis VI HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис VI хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis III HYPOGONADOTROPIC cum aut sine Anosmia,ангиокератома корпорис III хипогонадотропик кум аут сине анозмиа
A44,Bartonellosis debitum ad infectio Bartonella bacilliformis,бартонелозис дебитум ад инфекцио бартонела бацилиформис
G23,CONSPISSATIO VI DE FERRO NEURODEGENERATION cerebello; NBIA6,консписсацио VI де ферро неуродегенерацион церебело; нбиа6
C62,malignum undescended testis NOS (inordinatio),малигнум ундесцендед тестис нос (инординацио)
G51,Cheilitis granulomatosa Mescher-of-Melkersson Rosenthal,хеилитис грануломатоза месхер-оф-мелкерссон розентал
L21,Seborrheic generativus musculus infantum (inordinatio),себорреик генеративус мускулус инфантум (инординацио)
D12,Colon cutis pigmentation mutationes ungue digiti ejus CALVITIES,колон кутис пигментацион мутационес унгве дигити ейус калвициес
D81,Deficientia immunalis cum aliis gravibus `Combinatae quaevis Hypereosinophilia,дефициенциа иммуналис кум алиис гравибус `комбинате квевис хипереозинофилиа
E78,per familiam gregis mixti hyperlipidemia (inordinatio) [ambigua],пер фамилиам грегис миксти хиперлипидемиа (инординацио) [амбигуа]
G23,CONSPISSATIO I DE FERRO NEURODEGENERATION cerebello; NBIA1,консписсацио I де ферро неуродегенерацион церебело; нбиа1
C84,lympha nodis litigatorum fungoides mycosis intra-abdominis,лимфа нодис литигаторум фунгоидес микозис интра-абдоминис
C84,Fungi fungoides intrapelvic ex nodorum lymphaticorum (inordinatio),фунги фунгоидес интрапелвик екс нодорум лимфатикорум (инординацио)
D56,"Alpha-Thalassemia / mentis retardatio alveolaris, X JUNCTUS","алфа-талассемиа / ментис ретардацио алвеоларис, X йунктус"
Q75,et cadaver uxoris cum argumentis postaxial mandibulfacial dysostosis,ет кадавер укзорис кум аргументис постакзиал мандибулфациал дисостозис
Q21,"TRACTABILIS, thiamine megaloblastic anemia hominis; TRMA","трактабилис, тиамине мегалобластик анемиа хоминис; трма"
G11,"Cerebellar ataxia, Paroxysmal, acetazolamide Responsurum,","церебелар атакзиа, пароксизмал, ацетацоламиде респонзурум,"
E83,hereditarium hypophosphatemic cum rickets hypercalciuria,хередитариум хипофосфатемик кум риккетс хиперкалциуриа
G11,nonprogressive cerebelli atxia in mentis retardatio,нонпрогрессиве церебели аткзиа ин ментис ретардацио
I47,I catecholaminergic polymorphic ventriculorum tachycardia,I катехоламинергик полиморфик вентрикулорум тахикардиа
I47,II catecholaminergic polymorphic ventriculorum tachycardia,II катехоламинергик полиморфик вентрикулорум тахикардиа
I47,V catecholaminergic polymorphic ventriculorum tachycardia,V катехоламинергик полиморфик вентрикулорум тахикардиа
I47,catecholaminergic polymorphic ventriculorum tachycardia III,катехоламинергик полиморфик вентрикулорум тахикардиа III
I47,IV catecholaminergic polymorphic ventriculorum tachycardia,IV катехоламинергик полиморфик вентрикулорум тахикардиа
E23,Angiokeratoma Corporis hypogonadotropic VIII cum aut sine anosmia,ангиокератома корпорис хипогонадотропик VIII кум аут сине анозмиа
E23,Angiokeratoma Corporis hypogonadotropic IX cum vel sine anosmia,ангиокератома корпорис хипогонадотропик IX кум вел сине анозмиа
E23,Angiokeratoma Corporis VII hypogonadotropic cum aut sine anosmia,ангиокератома корпорис VII хипогонадотропик кум аут сине анозмиа
Q87,X syndromic coniunctum genus intellectualis vitium Cabezas,X синдромик кониунктум генус интелектуалис вициум кабецас
E23,Angiokeratoma Corporis I hypogonadotropic cum aut sine anosmia,ангиокератома корпорис I хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis IV hypogonadotropic cum aut sine anosmia,ангиокератома корпорис IV хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis V hypogonadotropic cum aut sine anosmia,ангиокератома корпорис V хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis VI hypogonadotropic cum aut sine anosmia,ангиокератома корпорис VI хипогонадотропик кум аут сине анозмиа
E23,Angiokeratoma Corporis III hypogonadotropic cum aut sine anosmia,ангиокератома корпорис III хипогонадотропик кум аут сине анозмиа
Q87,X syndromic coniunctum genus intellectualis vitium Raymond,X синдромик кониунктум генус интелектуалис вициум раимонд
E23,Angiokeratoma Corporis II hypogonadotropic cum aut sine anosmia,ангиокератома корпорис II хипогонадотропик кум аут сине анозмиа
H35,"Retinitis pigmentosa, Autosomal Recessive, Idh3B-Related","ретинитис пигментоза, аутозомал рецессиве, идх3б-релатед"
Q87,Long Multisynostotic Osteodysgenesis et os fracturae,лонг мултисиностотик остеодисгенезис ет ос фрактуре
I71,"Aorta aneurisma praecipui specificati site, ruptis (inordinatio)","аорта анеуризма преципуи спецификати сите, руптис (инординацио)"
K22,Nullam brevis musculus relaxationem impediant inferioribus oesophageale,нулам бревис мускулус релакзационем импедиант инфериорибус езофагеале
M48,Disseminata idiopathica Osseus hyperostosis (inordinatio),диссемината идиопатика оссеус хиперостозис (инординацио)
I80,Thrombophlebitis ex superficial venas inferioris extremitatem,тромбофлебитис екс суперфициал венас инфериорис екстремитатем
C32,"malignum, laryngis cartilagines NOS (inordinatio)","малигнум, ларингис картилагинес нос (инординацио)"
Q75,(Mandibulofacial dysostosis) seu (Franceschetti syndrome),(мандибулофациал дисостозис) сеу (францесхетти синдроме)
Q04,Polydactyly - foramine labium / palatum - psychomotor retardatio,полидактили - форамине лабиум / палатум - психомотор ретардацио
Q77,"Diastrophic Dysplasia, lato-Platyspondylic Adversus","диастрофик дисплазиа, лато-платиспондилик адверзус"
N25,secundarium Hyperparathyreoidismus renum originem (inordinatio),секундариум хиперпаратиреоидизмус ренум оригинем (инординацио)
N88,hypertrophic elongationem ceruicem (inordinatio) [ambigua],хипертрофик елонгационем церуицем (инординацио) [амбигуа]
G72,Cardiodysrhythmic kalium-sensitive periodica dimentis,кардиодисритмик калиум-сензитиве периодика диментис
